Organization Name,City,Race/ethnic groups reached,Outreach languages,Population demographic characteristics,Outreach activities,OC Nonprofit Central profile
Peace and Justice Law Center,Orange,"Black & African American, Latino / Latinx",English,"Houseless individuals & families, Immigrants / Refugees","Door-to-door canvassing, In-person events / gatherings, Peer-to-peer / mass texting, Tabling / flier distribution",https://www.ocnonprofitcentral.org/organizations/peace-and-justice-law-center
SCORE Orange County,Garden Grove,Latino / Latinx,Spanish,"Immigrants / Refugees, Limited English speaking ability","In-person events / gatherings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Virtual events / gatherings",None
Voice of Refugees,Huntington Beach,Middle Eastern & North African,"English, Arabic, Farsi",Immigrants / Refugees,"In-person events / gatherings, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/vor
Families Forward,Dana Point,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","Children under 5, Houseless individuals & families","In-person events / gatherings, Food / kit distribution, Mailings, Media (TV, radio, newspapers), Tabling / flier distribution",https://www.ocnonprofitcentral.org/organizations/families-forward
Waymakers,Buena Park,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Korean, Spanish, Vietnamese, Translation services are accessible for all languages.","Children under 5, Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Media (TV, radio, newspapers), Tabling / flier distribution",https://www.ocnonprofitcentral.org/organizations/waymakers
Serving Kids Hope,Cypress,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Farsi, Spanish","Children under 5, Limited English speaking ability, People with disabilities","In-person events / gatherings, Media (TV, radio, newspapers), Virtual events / gatherings",None
CEO Leadership Alliance Orange County,Buena Park,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White",English,Limited English speaking ability,"In-person events / gatherings, Virtual events / gatherings",None
Community Legal Aid SoCal,Buena Park,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish, Vietnamese","Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities","In-person events / gatherings, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/community-legal-aid-socal
SSA,Buena Park,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Arabic, Armenian, Chinese (Cantonese), Chinese (Mandarin), Farsi, Hindi, Japanese, Khmer, Korean, Russian, Spanish, Tagalog, Vietnamese,","Children under 5, Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Virtual events / gatherings",None
Thrive Together OC,Buena Park,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Non-Hispanic White","English, Arabic, Armenian, Chinese (Cantonese), Chinese (Mandarin), Farsi, Hindi, Japanese, Khmer, Korean, Russian, Spanish, Tagalog, Vietnamese","Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, People with disabilities, Veterans","In-person events / gatherings, Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",None
Fristers,Mission Viejo,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White",English,Children under 5,"In-person events / gatherings, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",None
MOMS Orange County,Buena Park,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Non-Hispanic White","English, Spanish, Vietnamese","Children under 5, Immigrants / Refugees, Limited English speaking ability","In-person events / gatherings, Mailings, Peer-to-peer / mass texting, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/moms-orange-county
LGBTQ Center OC,Costa Mesa,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors","In-person events / gatherings, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/gay-lesbian-community-services-center-of-orange-county
"Abrazar, Inc.",Cypress,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish, Vietnamese","Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors, People with disabilities, Veterans","Door-to-door canvassing, In-person events / gatherings, Food / kit distribution, Phone banking, Tabling / flier distribution, Virtual events / gatherings",None
The Cambodian Family Community Center,Irvine,"Asian American, Latino / Latinx","English, Khmer, Spanish, Vietnamese, Cham","Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors","Caravan / parade, Door-to-door canvassing, In-person events / gatherings, Food / kit distribution, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Phone banking, Tabling / flier distribution, Virtual events / gatherings",None
PHFE WIC Program,Santa Ana,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Arabic, Armenian, Chinese (Cantonese), Chinese (Mandarin), Farsi, Hindi, Japanese, Khmer, Korean, Russian, Spanish, Tagalog, Vietnamese","Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability","In-person events / gatherings, Virtual events / gatherings",None
Working Wardrobes,Costa Mesa,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Food / kit distribution, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/working-wardrobes-for-a-new-start
Vital Link Education & Business Consortium,Costa Mesa,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Translations occur at client sites","Houseless individuals & families, LGBTQ+, Limited English speaking ability, People with disabilities","In-person events / gatherings, Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/vital-link-education-business-consortium
Building Skills Partnership,Irvine,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African","English, Spanish","Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors","In-person events / gatherings, Food / kit distribution, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/building-skills-partnership
Elder Law and Disability Rights Center,Costa Mesa,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, We obtain translators as needed.","Houseless individuals & families, Older adults / seniors, People with disabilities","Tabling / flier distribution, Virtual events / gatherings",None
People for Housing OC,Fullerton,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White",English,Houseless individuals & families,"In-person events / gatherings, Media (TV, radio, newspapers), Virtual events / gatherings",None
Arab American Civic Council,Mission Viejo,Middle Eastern & North African,"English, Arabic",Immigrants / Refugees,"Door-to-door canvassing, In-person events / gatherings, Mailings, Peer-to-peer / mass texting, Phone banking, Tabling / flier distribution",https://www.ocnonprofitcentral.org/organizations/arab-american-civic-council
